ID,City,State,Lattitude,Longitude
430,Rumsey,KY,70.6921152,50.2122756
234,Rogers,CT,140.4723914,33.18335673
702,Everton,MO,119.0469849,51.48512967
662,Skanee,MI,70.1724149,129.5593113
171,Springerville,AZ,124.6882036,150.6628287
615,Libertytown,MD,144.5783185,111.9744225
336,Dumont,MN,57.0124315,129.3675605
315,Ravenna,KY,79.15467169,106.252172
505,Williams,AZ,73.48100913,111.7413889
842,Decatur,MI,63.31154085,161.4235787
982,Holbrook,AZ,134.8838521,103.8569792
868,Sherrill,AR,79.96440727,152.2197289
554,Brownsdale,MN,52.42646664,50.79836304
199,Linden,MI,53.41116218,32.62422206
453,Sedgwick,AR,68.93334418,75.29418595
326,Rocheport,MO,114.163159,64.48216553
638,Clovis,CA,92.43965299,138.0751933
156,Heyburn,ID,82.08611195,121.0459768
861,Peabody,KS,75.41614816,152.2100746
428,Randall,KS,47.99772806,135.6275983
677,Hayesville,IA,119.9881564,42.12719349
183,Jordan,MN,68.74638928,35.46228503
242,Macy,IN,138.694477,152.3694449
621,Flowood,MS,64.88877035,149.2064111
180,Napoleon,IN,32.03325626,160.2402958
853,Coldwater,KS,47.50617517,26.31002645
105,Weldon,CA,134.0156771,118.9609382
357,Yellville,AR,35.68710434,42.24658664
920,Eustis,FL,42.73630964,39.48336091
355,Weldona,CO,32.96727204,58.44917695
501,Tefft,IN,93.21527074,150.0159946
834,Bayville,ME,106.7349403,143.4078424
255,Brighton,IL,107.6050821,32.84882058
595,Grimes,IA,42.05019623,74.73314913
709,Nubieber,CA,132.9033933,49.27761205
16,Beaufort,MO,71.77418064,85.65741838
231,Arispe,IA,31.11149635,137.7968198
891,Humeston,IA,74.51222394,122.4246326
757,Lakeville,CT,59.86867012,94.98860174
506,Firebrick,KY,49.99183934,95.03900712
583,Channing,MI,117.1645417,56.95124478
504,Melber,KY,37.24884854,55.53335159
901,Manchester,MN,71.02098012,84.00752922
586,Ottertail,MN,100.0240382,44.34165481
95,Dupo,IL,41.28342297,29.03342929
524,Montrose,CA,136.4765033,119.373558
716,Schleswig,IA,119.2539069,51.88108538
904,Ermine,KY,119.6401426,62.79812627
740,Siler,KY,137.0193079,117.2464806
57,Clifton,AZ,30.15463898,135.7025933
155,Casco,MI,138.5984073,109.0728819
755,Sturgis,MI,117.392421,135.3989883
287,Madisonville,LA,112.2163874,53.04603619
435,Albion,IN,44.25844944,121.8753316
672,Lismore,MN,58.87142971,103.8693391
572,Athens,IN,75.32104008,120.7983748
890,Eufaula,AL,140.2958283,103.0868213
119,Wildie,KY,69.65812987,111.8552379
540,Mosca,CO,89.20441335,141.4811419
678,Bennington,IN,35.52107321,26.80362207
208,Lottie,LA,109.8672979,82.76650144
512,Garland,ME,108.7311062,134.3750565
352,Clutier,IA,61.1888319,127.0339038
948,Lupton,MI,139.9255926,53.36397181
503,Northfield,MN,61.00207775,37.15335522
288,Daleville,AL,121.8865105,136.1704398
479,Cuba,MO,63.71916114,87.64843313
826,Norris,MT,47.18550342,37.25727353
651,Clopton,AL,40.77104358,84.70678339
143,Renville,MN,142.1513936,99.43201313
102,Kirksville,MO,140.0030631,143.8709979
69,Kingsland,AR,78.22487634,85.13857667
181,Fairview,KS,80.27133556,164.5798928
175,Lydia,LA,41.78237386,39.53037919
80,Bridgton,ME,93.2257481,140.415464
596,Brownstown,IL,48.65218811,63.22095723
301,Monona,IA,144.1294884,81.57803996
987,Hartland,MI,136.2638918,107.738067
973,Andover,CT,51.74018501,52.53230369
981,Lakota,IA,56.15413675,92.38612569
110,Mesick,MI,82.12446036,108.5283528
396,Dryden,MI,69.80182523,47.7436689
637,Beverly,KY,57.75450094,126.8958422
801,Pocahontas,IL,109.6304686,83.23109494
130,Hayneville,AL,109.7380661,157.4686782
345,Yoder,IN,83.49946581,143.715826
851,Gatewood,MO,76.31562733,145.668333
489,Madden,MS,81.34223218,99.37998257
223,Losantville,IN,112.5187171,106.7760547
538,Cheswold,DE,31.93743733,59.34689519
329,Caseville,MI,102.9200706,98.4033735
815,Pomona,MO,52.33346818,50.28222507
789,Hopkinsville,KY,27.31872893,47.94652919
269,Jack,AL,49.93703023,85.62817326
969,Dixie,GA,27.21713791,36.47378899
271,Hillside,CO,99.26558164,68.84352684
667,Hawarden,IA,90.96161545,46.93255602
350,Cannonsburg,MI,91.03351667,120.6696799
49,Osborne,KS,70.36168327,139.7111654
404,Farmington,IL,91.7144044,72.0223174
23,Honolulu,HI,110.101955,139.7437776
1,Pfeifer,KS,37.44478047,65.68491252
127,Oshtemo,MI,100.3702957,135.9503227
657,Gridley,KS,118.1450367,55.80178454
